Register_ID;Country;Validation;Began;Ended;Duration in Days;Dead;Displaced;Main cause;Severity;Affected sq km;Magnitude;Longitude of Centroid X;Latitude of Centroid Y;M>6;Total annual floods M>6;M>4;Total annual floods M>4;Date Began;Total floods M>6;Total floods M>4
2845;Canada;News;12/04/2006;24/04/2006;13;0;1000;Heavy rain;2;63265;6.22;-103.36;53.54;1;20;1;63;12/04/2006;655;2398
2844;India;News;15/04/2006;18/04/2006;4;20;0;Heavy rain;1;190870;5.88;82.81;17.43;0;19;1;62;15/04/2006;654;2397
2843;Georgia;News;15/04/2006;24/04/2006;10;0;600;Dam/Levy break or release;1;29217;5.47;42.83;42.27;0;19;1;61;15/04/2006;654;2396
2842;Brazil;News;25/03/2006;23/04/2006;30;8;116000;Heavy rain;1;1164022;7.54;-52.29;-2.81;1;19;1;60;25/03/2006;654;2395
2841;Canada;News;11/04/2006;09/05/2006;29;0;40;Rain and snowmelt;1;9216;5.43;-96.95;49.85;0;18;1;59;11/04/2006;653;2394
2840;Dominican Republic;News;11/04/2006;15/04/2006;5;1;0;Heavy rain;1;15651;4.89;-70.69;19.46;0;18;1;58;11/04/2006;653;2393
2839;Romania;News;07/04/2006;24/05/2006;48;0;17000;Rain and snowmelt;2;144632;7.14;23.87;44.5;1;18;1;57;07/04/2006;653;2392
2838;Democratic Republic of Congo;News;08/04/2006;27/04/2006;20;6;0;Heavy rain;1;45526;5.96;16.17;-4.36;0;17;1;56;08/04/2006;652;2391
2837;Kenya;News;04/04/2006;22/05/2006;49;60;17300;Heavy rain;1;538046;7.42;37.53;2.25;1;17;1;55;04/04/2006;652;2390
2836;Australia;News;05/04/2006;10/04/2006;6;0;1100;Monsoonal rain;1;39366;5.37;132.39;-14.18;0;16;1;54;05/04/2006;651;2389
2835;Israel;News;05/04/2006;07/04/2006;3;0;0;Brief torrential rain;2;2498;4.18;35.23;32.48;0;16;1;53;05/04/2006;651;2388
2834;USA;News;04/04/2006;17/04/2006;14;1;600;Heavy rain;1;44107;5.79;-120.68;37.69;0;16;1;52;04/04/2006;651;2387
2833;Yemen;News;03/04/2006;06/04/2006;4;25;0;Heavy rain;1;91481;5.56;43.88;15.1;0;16;1;51;03/04/2006;651;2386
2832;Serbia-Montenegro;News;04/04/2006;11/05/2006;38;0;1500;Snowmelt;2;40531;6.49;20.75;45.26;1;16;1;50;04/04/2006;651;2385
2831;USA;News;31/03/2006;03/04/2006;4;0;0;Heavy rain;1;530;3.33;-157.85;21.35;0;15;0;49;31/03/2006;650;2384
